id,created_at,text
525546749100687360,2014-10-24 07:18:03,patience n 耐心；忍受 - par[=pass]+ience→感情，有感情就有耐心→耐心
525542964609576960,2014-10-24 07:03:01,compassion n 同情 - com 共同+pass+ion→共同感情→同情
525539182593077248,2014-10-24 06:47:59,主人，现在是复习时间，还记得这三个单词的意思吗？ compass  passion  impassioned 不可以点我偷看解释哦 #zwbot
525535398206791680,2014-10-24 06:32:57,impassioned a 充满激情的 - im 进入+passion 激情+ed→进入激情
525531618211934208,2014-10-24 06:17:56,impassive a 冷漠的 - im 无+pass+ive→无感情的
525527834303791104,2014-10-24 06:02:54,passive a 消极的，被动的 - pass+ive→感情用事→被动的
525524053260382208,2014-10-24 05:47:52,主人，现在是复习时间，还记得这三个单词的意思吗？ trespass  compass  passion 不可以点我偷看解释哦 #zwbot
525521534773764096,2014-10-24 05:37:52,passion n 激情 - pass+ion
525520270082060289,2014-10-24 05:32:50,"183. Pass= felling, 表示“感情” #zwbot"
525516488979914752,2014-10-24 05:17:49,encompass v 包围，环绕 - en 进入+compass 范围→进入范围→包围
525512707915542528,2014-10-24 05:02:47,compass n 范围，界限 - com 共同+pass→共同能过的地方→做事的范围
525508926020677632,2014-10-24 04:47:46,主人，现在是复习时间，还记得这三个单词的意思吗？ impassable  surpass  trespass 不可以点我偷看解释哦 #zwbot
525505147976175616,2014-10-24 04:32:45,trespass v 侵入，打扰 - tres[=trans 横过去]+pass→横穿而过→侵入[别人领地]
525501361060728833,2014-10-24 04:17:42,surpass v 优于，胜过 - sur 超过+pass→通过并超过→胜过
525497580327686144,2014-10-24 04:02:41,impassable a 不可通行的 - im 不+pass+able
525493799225540609,2014-10-24 03:47:39,主人，现在是复习时间，还记得这三个单词的意思吗？ passenger  passport  impasse 不可以点我偷看解释哦 #zwbot
525490020501577728,2014-10-24 03:32:38,impasse n 死路；僵局 - im 不+passe→通不过→死路
525486239151964160,2014-10-24 03:17:37,passport n 护照 - pass+port 港口→通过港口的凭证→护照
525482458108526592,2014-10-24 03:02:35,passenger n 乘客，旅客 - pass+enger 人→通过的人→乘客
525478675278344192,2014-10-24 02:47:33,主人，现在是复习时间，还记得这三个单词的意思吗？ apportion  proportion  disproportional 不可以点我偷看解释哦 #zwbot
525476156527497217,2014-10-24 02:37:33,passage n 通过，通行 - pass+age
525474892305530880,2014-10-24 02:32:31,"182. Pass=pass through,表示“通过” #zwbot"
525471110897225731,2014-10-24 02:17:30,disproportional a 不成比例的 - dis 不+proportion 比例+al
525467328960421888,2014-10-24 02:02:28,proportion n 比例，成分 - pro 前面+port+ion→成分其中一部分→[所占]比例
525463542703484928,2014-10-24 01:47:25,主人，现在是复习时间，还记得这三个单词的意思吗？ partner  portion  apportion 不可以点我偷看解释哦 #zwbot
525459760985178112,2014-10-24 01:32:24,apportion v 分配，分摊 - ap 成为+port+ion→把整体分成部分→分配
525455976242356225,2014-10-24 01:17:21,portion n 部分，一般 - port+ion→一部分
525452193542201345,2014-10-24 01:02:20,partner n 合作伙伴 - part+ner 人
525448411802124288,2014-10-24 00:47:18,主人，现在是复习时间，还记得这三个单词的意思吗？ counterpart  impartible  participate 不可以点我偷看解释哦 #zwbot
525444634470658048,2014-10-24 00:32:17,participate v 参加，参与 - parti+cip 进入+ate→进入一部分→参加
525440852282572800,2014-10-24 00:17:16,impartible a 不可分的 - im 不+part+ible→不能分成部分的
525437057469284352,2014-10-24 00:02:11,impart v 传授；告知 - im 进入+part→进入知识的一部分→传授
525429492710641665,2014-10-23 23:32:07,department n 部门；(大学)系 - de 下面+part+ment→下面的部分→部门；系
525425710471856128,2014-10-23 23:17:05,departe v 离开 - de 分开→part→部分分开→离开
525421929688080384,2014-10-23 23:02:04,主人，该起床背单词了哦☆ #zwbot
525314921412562944,2014-10-23 15:56:51,主人，该上床睡觉啦♥～ #zwbot
525312401613144064,2014-10-23 15:46:51,主人，现在是复习时间，还记得这三个单词的意思吗？ partisan  apartment  counterpart 不可以点我偷看解释哦 #zwbot
525308624487215105,2014-10-23 15:31:50,counterpart n 相对物；副本 - counter 相对应+part→对应的一部分→对应的人或物
525304843124998144,2014-10-23 15:16:48,apartment n 公寓 - a+part+ment→[楼房]分出的一部分→公寓
525301061666361347,2014-10-23 15:01:47,partisan n 党徒；偏见者 - parti[party 党]，一部分+san→党人→党徒
525297280455159808,2014-10-23 14:46:45,主人，现在是复习时间，还记得这三个单词的意思吗？ particle  particular  partition 不可以点我偷看解释哦 #zwbot
525293502809120768,2014-10-23 14:31:45,partition n 分开，划分 - part+ition→[分成]部分
525289721727946752,2014-10-23 14:16:43,particular a 特别的；各自的 - part+icuar 有…的→有自己的部分→特别的
525285941099778048,2014-10-23 14:01:42,particle n 微粒，极少量 - part+icle 小东西→一小部分→少量
525282160043753473,2014-10-23 13:46:40,主人，现在是复习时间，还记得这三个单词的意思吗？ nonpareil  partake  impartial 不可以点我偷看解释哦 #zwbot
525278381999276032,2014-10-23 13:31:40,impartial a 公正的 - im 无+partial 有偏见的→无偏见的
525274600960032768,2014-10-23 13:16:38,partial a 部分的；有偏见的 - part+ial
525272078996353024,2014-10-23 13:06:37,partake v 参与；分享 - part+take 拿→拿一部分→分享；参与
525270814954762240,2014-10-23 13:01:36,"181. Part, port=part, divide,表示“部分，分开” #zwbot"
525267034322370560,2014-10-23 12:46:34,主人，现在是复习时间，还记得这三个单词的意思吗？ compare  comparison  nonpareil 不可以点我偷看解释哦 #zwbot
525263257087406081,2014-10-23 12:31:34,nonpareil a 无与伦比的 - non 无+par+eil→无平等的→无与伦比的
525259476786368516,2014-10-23 12:16:32,comparison n 比较，对照 - com+pari+son
525255696216907776,2014-10-23 12:01:31,compare v 比较，对照 - com 共同+pare→平等放在一起→比较
525251913856450560,2014-10-23 11:46:29,主人，现在是复习时间，还记得这三个单词的意思吗？ imparity  disparage  disparity 不可以点我偷看解释哦 #zwbot
525248136139120640,2014-10-23 11:31:28,disparity n 不同，不等 - dis 不+par 平等，相同+ity→不相同
525244354332336128,2014-10-23 11:16:27,disparage v 轻视，贬抑 - dis 不+par+age→不平等对待→轻视
525240573515415552,2014-10-23 11:01:25,imparity n 不平等 - im 不+parity 平等
525236793461858305,2014-10-23 10:46:24,主人，现在是复习时间，还记得这三个单词的意思吗？ suborn  inornate  parity 不可以点我偷看解释哦 #zwbot
525234275205914624,2014-10-23 10:36:24,parity n 同等，同样；平等 - par+ity
525233011294339072,2014-10-23 10:31:22,"180.par=equal,表示“平等” #zwbot"
525229229248507904,2014-10-23 10:16:21,inornate a 不加修饰的；朴素的 - in 不+ornate 华丽的
525225446179225601,2014-10-23 10:01:19,suborn v 贿赂；唆使 - sub 在下面+orn→在下面装饰别人→贿赂
525221665618145281,2014-10-23 09:46:17,主人，现在是复习时间，还记得这三个单词的意思吗？ adornment  ornament  ornate 不可以点我偷看解释哦 #zwbot
525217888420900864,2014-10-23 09:31:17,ornate a 华丽的；装饰的 - orn+ate
525214107738185728,2014-10-23 09:16:15,ornament n 装饰品 - orna+ment→装饰品
525210327181295616,2014-10-23 09:01:14,adornment n 装饰 - adorn+ment
525206545886244864,2014-10-23 08:46:13,主人，现在是复习时间，还记得这三个单词的意思吗？ subordinate  insubordinate  adorn 不可以点我偷看解释哦 #zwbot
525204026921467904,2014-10-23 08:36:12,adorn v 装饰，修饰 - ad 加以+orn 装饰
525202763072827392,2014-10-23 08:31:11,"179. Orn=embellish,表示“装饰” #zwbot"
525198982968901632,2014-10-23 08:16:09,insubordinate a 不服从的 - in 不+subordinate 服从的
525195202110042113,2014-10-23 08:01:08,subordinate a 附属的；服从的n. 部下 - sub 下面+ordin+ate→顺序在下→附属的
525191419766398976,2014-10-23 07:46:06,主人，现在是复习时间，还记得这三个单词的意思吗？ coordinate  coordinator  inordinate 不可以点我偷看解释哦 #zwbot
525187642934042625,2014-10-23 07:31:06,inordinate a 过度的，无节制的 - in 无+ordin+ate→无顺序的→过度的
525183862196826112,2014-10-23 07:16:04,coordinator n 协调者 - coordinate+or
525180081610567680,2014-10-23 07:01:03,coordinate v 协作a . 同等的； 坐标的 - co 共同+ordin+ate→共同顺序→同等的
525176300927848448,2014-10-23 06:46:02,主人，现在是复习时间，还记得这三个单词的意思吗？ ordinance  ordinary  extraordinary 不可以点我偷看解释哦 #zwbot
525172522908528640,2014-10-23 06:31:01,extraordinary a 特别的，超常的 - extra 超+ordinary普通的
525168741772820480,2014-10-23 06:15:59,ordinary a 普通的 - ordin+ary→有顺序的；听命令的→普通的
525164960842674178,2014-10-23 06:00:58,ordinance n 训令，法令 - ardin+ance→命令[状态]→法令
525161179501449216,2014-10-23 05:45:56,主人，现在是复习时间，还记得这三个单词的意思吗？ original  originate  ordain 不可以点我偷看解释哦 #zwbot
525157400739721220,2014-10-23 05:30:55,ordinal a 顺序的，次序的 - ordin+al
525154878436306944,2014-10-23 05:20:54,ordain n 规定；命令 - ordin 的变体
525153614348578816,2014-10-23 05:15:53,"178. Ordin=order,表示“命令，顺序” #zwbot"
525149832977993728,2014-10-23 05:00:51,oboriginal a 土著的，原始的 - ab 从+origin 起源+al→从起源来→原始的
