id,created_at,text
503518175926161408,2014-08-24 12:24:22,How_was_Emiy_Bronte%27s_life_effect_her_lext http://t.co/bEArBfBsND
503465283705925632,2014-08-24 08:54:12,Where_did_black_death_stop_at http://t.co/xiesNb8Ura
503455135423819776,2014-08-24 08:13:52,What_were_the_aims_of_the_nasist_party http://t.co/z0i5Y1ywle
503439226256769024,2014-08-24 07:10:39,What_do_native_Americans_in_Brazil_eat http://t.co/A3IPDjBuJA
503424100560560128,2014-08-24 06:10:33,Did_arnel_jacinto_passed http://t.co/p1JoQQoexz
503410487300993025,2014-08-24 05:16:27,What_is_the_history_of_Chinese_music http://t.co/tsk8mcyXHs
503393905862533120,2014-08-24 04:10:34,How_much_does_14_grams_of_meth_cost http://t.co/AjeTSAM6X2
503378548347113472,2014-08-24 03:09:32,How_to_convet_a_decimal_to_a_percent http://t.co/Q9FLLXF7yS
503363805913837568,2014-08-24 02:10:58,When_and_where_was_Betsy_Dowdy_born http://t.co/qjCWNzOvkq
503348346476822528,2014-08-24 01:09:32,Was_Taylor%27s_song_%27mean%27a_hit http://t.co/tCE1B9yz5x
503333365266010112,2014-08-24 00:10:00,How_do_you_make_a_buket http://t.co/UrwuA9U4NG
503318160670720000,2014-08-23 23:09:35,Why_did_osama_bib_ladin_destroy_the_twin_towers http://t.co/FlxCwTmFCO
503303947655069696,2014-08-23 22:13:06,How_do_aborigines_stop_mosquitoes_from_biting_them http://t.co/Sj7t2IciqW
503288431594971136,2014-08-23 21:11:27,Where_do_you_find_a_car_in_Dayz http://t.co/8d8DuXSW9a
503273259555909634,2014-08-23 20:11:10,How_do_you_magnetize_a_piece_of_metal http://t.co/FrqzR6i2wj
503257834973589506,2014-08-23 19:09:52,What_does_fitique_mean http://t.co/uk7xPl29hs
503244489088303104,2014-08-23 18:16:50,"Why_did_the_three_tails_%26_six-tailed_beasts_storys,_become_mangas_instead_of_anime%27s http://t.co/bFVHilQnEz"
503228018526277633,2014-08-23 17:11:23,How_much_were_accountants_paid_during_the_great_depression http://t.co/fWrZ7fn4Ku
503212482308345856,2014-08-23 16:09:39,How_can_copper_treated_to_make_it_more_useful http://t.co/ULSlfsd5p4
503197369115344897,2014-08-23 15:09:36,What_forces_are_acting_on_a_dropped_book_that_falls_to_the_floor http://t.co/7hlDHJQlcs
503182287044083712,2014-08-23 14:09:40,What_is_the_purpose_of_engineers_reconasisance http://t.co/cW396r4wUJ
503169205681000448,2014-08-23 13:17:41,What_is_the_high_point_in_Hawii http://t.co/uDKTq086MV
503152066345570305,2014-08-23 12:09:35,What_happens_if_you_turn_off_the_power_in_Xbox_Live http://t.co/DH0NpmfHte
503137038062067713,2014-08-23 11:09:52,Where_does_hydroelectric_power_energy_come_form http://t.co/wRj18ITR21
503121869541998592,2014-08-23 10:09:35,What_is_the_compound_name_for_Na2SO4 http://t.co/VTvg8Q87zf
503106698769604609,2014-08-23 09:09:18,What_awoke_the_princess_in_sleeping_beauty http://t.co/ppIOOeNbsj
503094423979581440,2014-08-23 08:20:32,What_are_the_five_s http://t.co/tBJ6BQOx2d
503077462214189056,2014-08-23 07:13:08,What_is_known_by_GJS_metal http://t.co/H3Ne6xTgxW
503064002076102656,2014-08-23 06:19:39,When_will_your_answer_be_positive_while_adding http://t.co/OKcmIQkArt
503046398200532993,2014-08-23 05:09:42,How_do_you_you_change_a_headlight_bulb_on_a_2000_S-type_Jaguar http://t.co/xuoVu2dNiM
503031408450105345,2014-08-23 04:10:08,What_is_orientation http://t.co/PD3UsKHCSp
503016189329948672,2014-08-23 03:09:39,What_are_the_types_of_visual_communications http://t.co/qf8IJpcRci
503001051709337600,2014-08-23 02:09:30,Does_water_and_PVA_glue_mix http://t.co/m3iw4pspck
502985827954470913,2014-08-23 01:09:01,Why_are_there_leaders http://t.co/gR1j8f6ezn
502970751583277057,2014-08-23 00:09:06,Where_do_I_get_the_access_code_for_the_national_guard_bunker_in_Fallout_3 http://t.co/adtOz67w1e
502955622716178432,2014-08-22 23:08:59,What_are_the_enviromental_sustainability_mention_cases http://t.co/iX37hgJ69J
502940632298835969,2014-08-22 22:09:25,How_do_you_find_max/min_circle_value http://t.co/tuTJNaIW5n
502925431482646530,2014-08-22 21:09:01,"How_can_I_change_the_controls_layout_for_sonic_and_sega_all-stars,_on_PC http://t.co/sTFAQgNqvC"
502910415719133184,2014-08-22 20:09:21,What_is_avleh_kalpana http://t.co/OfEa3Q4vtA
502895373598593024,2014-08-22 19:09:35,How_much_petroleum_does_Mexico_have_compared_to_Saudi_Arabia http://t.co/LAMj5JzVNi
502880251312369665,2014-08-22 18:09:29,Which_films_were_popular_in_1998 http://t.co/oJG0tMeDpB
502865071262142465,2014-08-22 17:09:10,How_do_you_propose_a_girl_of_age_14_if_my_age_is_16 http://t.co/MqA70Th9Yz
502849980902940672,2014-08-22 16:09:12,Who_was_the_SA http://t.co/RmEjfoHOXt
502834845459165186,2014-08-22 15:09:04,How_many_calories_in_boiled_chicken_breast http://t.co/6W5EON8crf
502819943797489665,2014-08-22 14:09:51,How_big_do_boxers_get http://t.co/779YT0NnDE
502804811499454465,2014-08-22 13:09:43,How_did_saint_patrick%27s_day_start http://t.co/45N2nGOotE
502789707743629312,2014-08-22 12:09:42,What_are_the_inverted_sentences_in_the_poem_wonder_thirst http://t.co/ZewgaWkvpp
502774723286417408,2014-08-22 11:10:09,What_happened_to_sudan_in_2011 http://t.co/fgME7RVEBN
502759505726541824,2014-08-22 10:09:41,How_much_are_sea_world_tickets http://t.co/dF9K7EMEbj
502744322417373184,2014-08-22 09:09:21,Is_there_bulls_sperm_in_energy_drinks http://t.co/G2r1LbvwCC
502729533460840448,2014-08-22 08:10:35,Does_julio_cruz_likes_me http://t.co/3km5vDWIQe
502714931524157440,2014-08-22 07:12:34,How_many_unique_castings_are_there_in_the_1/64_scale http://t.co/1Wk2Pdam2P
502702088343007233,2014-08-22 06:21:32,How_far_is_it_from_Detroit_to_Las_Vegas http://t.co/uguIhJWS6J
502684048708608000,2014-08-22 05:09:51,How_do_you_use_bureaucracy http://t.co/D6AoldKlFz
502668913109643264,2014-08-22 04:09:42,Where_to_find_Riplis_Greenbird http://t.co/u6ebBC5JMR
502655604541120512,2014-08-22 03:16:49,How_to_find_trapizoidal_footing_volume http://t.co/WCo5aegz0n
502638621669990401,2014-08-22 02:09:20,What_is_6_divided_by_1/4 http://t.co/N60IR9EQLH
502623487228665857,2014-08-22 01:09:12,How_do_you_rebuild_rear_axil_on_honda_4_wheeler http://t.co/o0vamZeG6M
502610769562075136,2014-08-22 00:18:40,What_are_vietnamise_rights http://t.co/5e0Dbu4c7z
502594414355968000,2014-08-21 23:13:40,What_happens_if_you_eat_a_raw_mushroom_stem http://t.co/cOm099sVuJ
502578332119339010,2014-08-21 22:09:46,Who_was_Jaques_Cousteau http://t.co/faSqxpufD7
502563320864735232,2014-08-21 21:10:07,What_is_the_etymology_of_words http://t.co/mMzpUXtWbE
502548015580975104,2014-08-21 20:09:18,What_ship_was_it_that_James_forten_held_captive http://t.co/ayFCW3xwVE
502517822522949633,2014-08-21 18:09:19,What_is_were_childrens_lives_like_in_the_port_arthur_colony http://t.co/bNtCKZehzV
502502663863697408,2014-08-21 17:09:05,What_does_disign_lay_out_do http://t.co/RMbxS5Ec1h
502487729163497473,2014-08-21 16:09:45,What_I_science http://t.co/KDxvWb5tX8
502472690121601024,2014-08-21 15:09:59,What_is_the_measurement_of_Helsinki http://t.co/RclZ35EEb2
502457457516756993,2014-08-21 14:09:27,What_animals_weigh_21_stone http://t.co/kGOIQpR4eO
502442257254219776,2014-08-21 13:09:03,Do_fish_exist http://t.co/WMAB5g5YEr
502427243646554112,2014-08-21 12:09:24,How_do_you_appraise_property_for_free_online http://t.co/S25IQr3bpx
502412132299059200,2014-08-21 11:09:21,"Who_really_killed_martin_luther_king_jr._on_april_4,_1968 http://t.co/FHdImfLtcW"
502397013846409217,2014-08-21 10:09:16,How_old_is_dec http://t.co/i5RxFhO9ew
502381848375607296,2014-08-21 09:09:01,What_is_the_moon_phases_in_oder http://t.co/87mGUpPtAM
502366842556784641,2014-08-21 08:09:23,Does_having_permanent_residency_in_Spain_allow_you_to_come_to_uk_without_a_visa http://t.co/th74yG9MnE
502351751874633728,2014-08-21 07:09:25,WHY_IS_nARENDRA_mODI_GOOD_FOR_THE_COUNTRY http://t.co/lqKe7zOQ4r
502337069503758336,2014-08-21 06:11:05,Why_is_planning_important_in_the_system_development_life_cycle http://t.co/YQqa13wf0u
502322039559299073,2014-08-21 05:11:21,How_many_liters_equal_pound http://t.co/DYsPSV2Ejl
502293287328571392,2014-08-21 03:17:06,Where_are_we_from http://t.co/S4S8CROD3U
502261539836272640,2014-08-21 01:10:57,What_is_the_smallest_star http://t.co/8sSSIpxeYA
502247698586939392,2014-08-21 00:15:57,Why_flavour_condoms_are_used http://t.co/xvKc8CHkXp
502231604539195393,2014-08-20 23:12:00,Will_computers_ever_be_clever_then_humans http://t.co/bAT4jEX4cY
502215881179803648,2014-08-20 22:09:31,What_metamorphic_rock_can_be_produced_form_lime http://t.co/mCTyVpqOMz
502200660377739264,2014-08-20 21:09:02,What_is_formal_bookkeping_system http://t.co/k1mc1nZg9h
502185689849810946,2014-08-20 20:09:33,What_percent_of_blood_loss_does_it_take_to_start_hypotension_at http://t.co/DcmDgKEmqu
502171976933572609,2014-08-20 19:15:03,Where_do_animals_lose_their_body_heat http://t.co/HY0cnpBv62
502155451275153408,2014-08-20 18:09:23,Where_is_Fanatic_ambusher http://t.co/XWWVFp8MqK
502140277654839296,2014-08-20 17:09:06,How_can_I_play_pokemon_on_the_htc_one http://t.co/ti6gCcYVV3
502110129450668032,2014-08-20 15:09:18,How_many_forms_does_sonic_have http://t.co/CrMY73yldt
502095085476274177,2014-08-20 14:09:31,What_dose_a_timpani_look_like http://t.co/fm6JWddaXb
502079920122912770,2014-08-20 13:09:15,Is_polio_selective http://t.co/ubK5Jfuylt
502064907698053120,2014-08-20 12:09:36,What_is_dogging_numbers http://t.co/1eGImd86I2
502050124168974336,2014-08-20 11:10:51,What_does_significance_mean http://t.co/h0CbWJQKWo
502034715155910656,2014-08-20 10:09:38,What_is_new_museology http://t.co/4C8SxzUXtf
502019597948956672,2014-08-20 09:09:33,What_are_the_steps_in_getting_a_apartment http://t.co/WBq0awAiu9
502004527915360256,2014-08-20 08:09:40,How_much_does_a_cardiologest_make http://t.co/gqpPdHacJU
501989346237763584,2014-08-20 07:09:21,How_much_do_landscape_laborors_make http://t.co/q4CZrVJqw0
501974325529157632,2014-08-20 06:09:40,Who_was_the_next_king_or_queen_after_charles_the_first http://t.co/ow4ujXCKW4
501949488236613632,2014-08-20 04:30:58,What_is_there_going_to_be_a_deck_with_the_card_Dyablo http://t.co/fY05a2uY0z
501883960285470720,2014-08-20 00:10:35,Why_did_the_typhoon_hit_philippens http://t.co/E4xSfJ4lvs
501868663809789952,2014-08-19 23:09:48,What_county_is_L_G_based_in http://t.co/IZxcVplqI6
501853447504015360,2014-08-19 22:09:20,How_do_you_change_a_taillight_on_a_2006_honda_civic http://t.co/m7rRexUHq5
501838308205674497,2014-08-19 21:09:11,What_does_quiero_hacer_el_amor_contigo_mean http://t.co/GzqHzM3qZS
501823977606873090,2014-08-19 20:12:14,What_did_the_French_national_assembly_decide http://t.co/JjSSsKPsT6
501810562935029761,2014-08-19 19:18:56,What_are_harry_potter%27s_interests http://t.co/WbE96g8ke9
501793047731240960,2014-08-19 18:09:20,How_do_volcanoes_affect_local_dams http://t.co/rDBd2bBs3B
501777946173259777,2014-08-19 17:09:19,How_old_is_nick_arnold%27s_bother%27s http://t.co/vMKdCMgBiS
501748598208724993,2014-08-19 15:12:42,What_are_the_unlock_codes_for_espin http://t.co/73Dm9dvuhn
501747432452292608,2014-08-19 15:08:04,What_does_metro_mean http://t.co/oPWjy6itp2
501732715511939072,2014-08-19 14:09:35,How_do_you_measure_a_square_on_a_triangular_roof http://t.co/rMsFLS3S67
501717488695263232,2014-08-19 13:09:05,What_is_the_definition_of_a_secondary_storage_device http://t.co/ZbOhwAEJwp
501702515201966080,2014-08-19 12:09:35,What_a_hervivor http://t.co/00wzPtDjJU
501687283113025536,2014-08-19 11:09:03,Where_was_antonio_mucci_from http://t.co/Jav0S0cIMM
501672269018828800,2014-08-19 10:09:24,What_is_the_largest_city_in_the_USA http://t.co/gaKLIMQmLP
501657211660402689,2014-08-19 09:09:34,How_a_person_can_develop_his_language_skills http://t.co/FicRkgeERQ
501642085460897792,2014-08-19 08:09:27,Can_Metformin_HCL_possibly_cause_hearburn http://t.co/9jS8sEIuAP
501627918662250496,2014-08-19 07:13:10,When_is_the_pollen_transferred_to_the_stigma http://t.co/aDuRGuEvs4
501611958064664576,2014-08-19 06:09:44,Is_Sam_Heughan_Gay http://t.co/vGdMUyczsp
501596892296650752,2014-08-19 05:09:53,What_did_han_do_during_the_han_dynasty http://t.co/B96L1qx36s
501581697113411584,2014-08-19 04:09:30,Where_is_waterport_messages http://t.co/F2yTZ0Dw0e
501566618980610048,2014-08-19 03:09:35,What_term_is_used_to_describe_a_substance_that_can_be_broken_down_and_eaten_up_by_microorganism_like_bacteria http://t.co/Qn8LZddWaJ
