id,created_at,text
525953192148750336,2014-10-25 10:13:07,"Bang out a theme {thesis} concerning Autobahn, due in four days. 250 words maximum."
525862595656306688,2014-10-25 04:13:07,"Fabricate a narrative {diegema} on the ""most modestly priced receptacle,"" due in four days. 2500 words maximum."
525771998551490561,2014-10-24 22:13:07,"Design a proverb {gnome} regarding Autobahn, due in four days. 2500 words minimum."
525681402830790656,2014-10-24 16:13:07,"Make up an attack or defense of a law {nomou eisphora} on His Dudeness, due in three days. 3000 words maximum."
525590803729481730,2014-10-24 10:13:07,"Set up an anecdote {chreia} concerning Brandt, due in four days. 2000 words maximum."
525500205462863872,2014-10-24 04:13:06,"Write an impersonation {ethopoeia} on Uli Kunkel, Franz, and Kieffer, due one week from today. 2500 words maximum."
525409609906135040,2014-10-23 22:13:07,"Bang out a proverb {gnome} on a toe by 3 o’clock, due one week from today. 250 words minimum."
525319011655876608,2014-10-23 16:13:06,"Author an attack or defense of a law {nomou eisphora} connected with Brandt, due two weeks from today. 2000 words maximum."
525228421014503424,2014-10-23 10:13:08,"Type a comparison {synkrisis} revelant to Uli Kunkel, Franz, and Kieffer, due in four days. 3000 words minimum."
525137816611614720,2014-10-23 04:13:06,"Make up a commonplace {koinos topos} with reference to Uli Kunkel, Franz, and Kieffer, due two weeks from today. 140 characters minimum."
525047222082080769,2014-10-22 22:13:07,"Form a description {ekphrasis} on Jackie Treehorn, due one month from today. 100 words minimum."
524956624348127232,2014-10-22 16:13:07,"Fabricate a description {ekphrasis} about bowling, due in five days. 2500 words maximum."
524866032448458754,2014-10-22 10:13:08,"Type a vituperation {psogos} on Jesus Quintana, due two weeks from today. 2500 words minimum."
524775429173821440,2014-10-22 04:13:06,"Develop an impersonation {ethopoeia} on the other Jeffrey Lebowski, due in three days. 140 characters minimum."
524594237933760513,2014-10-21 16:13:07,"Type a commonplace {koinos topos} pertaining to His Dudeness, due in five days. 500 words maximum."
524503640346595330,2014-10-21 10:13:07,"Write a commonplace {koinos topos} connected to Walter Sobchak, due in five days. 100 words minimum."
524413041903808512,2014-10-21 04:13:06,"Formulate a theme {thesis} related to a league game, due by 5pm. 2000 words maximum."
524322444954173440,2014-10-20 22:13:06,"Justify a refutation {anaskeue} revelant to the Dude, due one month from today. 100 words maximum."
524231849208340480,2014-10-20 16:13:07,"Develop a fable {mythos} concerning a league game, due at the end of the semester. 2000 words maximum."
524141258290118656,2014-10-20 10:13:08,"Compose a narrative {diegema} about Walter Sobchak, due in 48 hours. 1000 words minimum."
524050664276508672,2014-10-20 04:13:09,"Invent a comparison {synkrisis} in regards to His Dudeness, due one week from today. 2000 words minimum."
523960056316846080,2014-10-19 22:13:06,"Justify a vituperation {psogos} pertaining to El Duderino, due at the end of the semester. 2000 words minimum."
523869460013142018,2014-10-19 16:13:06,"Formulate a commonplace {koinos topos} on off-world colonies, due in 48 hours. 1000 words minimum."
523778863650721794,2014-10-19 10:13:07,"Compose a fable {mythos} regarding off-world colonies, due in 48 hours. 2500 words maximum."
523688265434427394,2014-10-19 04:13:06,"Develop a theme {thesis} revelant to Deckard, due two weeks from today. 3000 words minimum."
523597669218779137,2014-10-18 22:13:06,"Fabricate an impersonation {ethopoeia} on Zhora, due in 48 hours. 140 characters maximum."
523507073162567680,2014-10-18 16:13:07,"Bang out a refutation {anaskeue} with reference to Captain Bryant, due two weeks from today. 2000 words minimum."
523416480637915136,2014-10-18 10:13:08,"Pen a vituperation {psogos} connected to accelerated decrepitude, due one week from today. 2000 words maximum."
523325878080532480,2014-10-18 04:13:06,"Produce a narrative {diegema} related to Captain Bryant, due tomorrow. 1500 words minimum."
